"","standardised_karlan_profit","karlan_treatment"
"463",669.29324106189,0
"464",2516.54258639271,1
"465",160.630377854854,1
"466",0,1
"467",696.064970704365,1
"468",0,1
"469",133.858648212378,1
"470",1151.18437462645,1
"471",535.434592849512,0
"472",0,1
"473",80.3151889274268,1
"474",48.1891133564561,1
"475",160.630377854854,1
"476",133.858648212378,0
"477",1070.86918569902,0
"478",0,1
"479",40.1575944637134,1
"480",401.575944637134,1
"481",0,1
"482",26.7717296424756,0
"483",214.173837139805,1
"484",200.787972318567,1
"485",0,1
"486",80.3151889274268,1
"487",292.775635370113,0
"488",1472.44513033616,1
"489",214.173837139805,1
"490",348.032485352183,1
"491",736.222565168079,1
"492",187.402107497329,1
"493",910.23880784417,1
"494",133.858648212378,1
"495",80.3151889274268,0
"496",80.3151889274268,0
"497",53.5434592849512,1
"498",360.508111365576,0
"499",374.804214994658,0
"500",669.29324106189,1
"501",281.103161245994,1
"502",0,1
"503",0,1
"504",401.575944637134,1
"505",441.733539100847,1
"506",329.29227460245,1
"507",200.787972318567,1
"508",607.370230398844,1
"509",479.213960600313,1
"510",353.386831280678,1
"511",2168.51010104052,1
"512",91.023880784417,1
"513",698.206709075763,1
"514",224.882528996795,1
"515",0,1
"516",1070.86918569902,1
"517",310.552063852717,0
"518",138.249211873744,1
"519",2101.58077693433,1
"520",240.94556678228,0
"521",160.630377854854,1
"522",120.47278339114,1
"523",200.787972318567,1
"524",107.086918569902,1
"525",96.3782267129121,1
"526",374.804214994658,1
"527",294.489026067232,1
"528",910.23880784417,1
"529",0,1
"530",0,1
"531",200.787972318567,1
"532",696.064970704365,1
"533",0,1
"534",1058.82190735991,1
"535",1044.09745605655,1
"536",152.598858962111,0
"537",977.168131950359,1
"538",390.867252780144,0
"539",642.521511419414,0
"540",401.575944637134,1
"541",397.560185190763,1
"542",74.9608429989317,1
"543",-25.4331431603518,1
"544",133.858648212378,1
"545",1003.93986159283,1
"546",722.836700346841,1
"547",163.307550819101,1
"548",749.608429989317,1
"549",155.276031926358,1
"550",0,1
"551",776.380159631792,1
"552",0,1
"553",53.5434592849512,1
"554",240.94556678228,1
"555",74.9608429989317,1
"556",1627.72116226252,0
"557",104.409745605655,1
"558",0,1
"559",398.898771672886,0
"560",562.206322491988,1
"561",174.016242676091,1
"562",427.009087797486,1
"563",29.4489026067232,1
"564",0,0
"565",342.678139423688,1
"566",42.834767427961,0
"567",591.655225098711,1
"568",0,0
"569",401.575944637134,0
"570",762.994294810554,1
"571",206.142318247062,1
"572",417.638982422619,1
"573",120.47278339114,0
"574",125.827129319635,1
"575",50.8662863207036,1
"576",117.795610426893,1
"577",428.34767427961,1
