"","standardised_banerjee_profit","banerjee_treatment"
"967",0,0
"968",0,0
"969",2543.8390717257,0
"970",0,0
"971",-19.5013216742174,0
"972",0,0
"973",0,0
"974",126.49857326009,0
"975",0,0
"976",498.063755559513,0
"977",0,0
"978",10.6173862448517,0
"979",-71.721527490733,0
"980",-65.2210869326605,0
"981",22.1014978974464,0
"982",0,0
"983",-1.99346843780889,0
"984",-1.90679589703459,0
"985",-2006.46931892504,0
"986",109.16406510523,0
"987",171.178268029242,0
"988",370.525111810131,0
"989",0,0
"990",0,0
"991",667.378563962108,0
"992",0,0
"993",0,0
"994",0,0
"995",0,0
"996",0,0
"997",0,0
"998",0,0
"999",0,0
"1000",0,0
"1001",0,0
"1002",0,0
"1003",0,0
"1004",0,0
"1005",0,0
"1006",0,0
"1007",0,0
"1008",0,0
"1009",0,0
"1010",0,0
"1011",0,0
"1012",0,0
"1013",0,0
"1014",0,0
"1015",0,0
"1016",0,0
"1017",0,0
"1018",-89.922761053336,0
"1019",0,0
"1020",-0.693380326194398,0
"1021",0,0
"1022",0,0
"1023",0,0
"1024",0,0
"1025",0,0
"1026",0,0
"1027",0,0
"1028",-19.5013216742174,0
"1029",0,0
"1030",0,0
"1031",0,0
"1032",0,0
"1033",0,0
"1034",0,0
"1035",0,0
"1036",216.681351935749,0
"1037",433.362703871499,0
"1038",173.345081548599,0
"1039",6.50044055807248,0
"1040",134.342438200165,0
"1041",-216.768024476524,0
"1042",0,0
"1043",39.0026433484349,0
"1044",0,0
"1045",0,0
"1046",0,0
"1047",0,0
"1048",0,0
"1049",13.5642526311779,0
"1050",0,0
"1051",0,1
"1052",0,1
"1053",693.380326194398,1
"1054",283.202526980024,1
"1055",0,1
"1056",0,1
"1057",0,1
"1058",0,1
"1059",0,1
"1060",0,1
"1061",-103.313668602965,1
"1062",0,1
"1063",0,1
"1064",0,1
"1065",0,1
"1066",0,1
"1067",0,1
"1068",0,1
"1069",0,1
"1070",0,1
"1071",0,1
"1072",151.676946355025,1
"1073",0,1
"1074",0,0
"1075",0,0
"1076",346.690163097199,0
"1077",0,0
"1078",-0.650044055807248,0
"1079",-20.8014097858319,0
"1080",0,0
"1081",-693.380326194398,0
"1082",-91.0061678130147,0
"1083",52.6102322499999,0
"1084",146.259912556631,0
"1085",0,0
"1086",-13.000881116145,0
"1087",0,0
"1088",0,0
"1089",0,0
"1090",0,0
"1091",0,0
"1092",0,0
"1093",0,0
"1094",0,0
"1095",0,0
"1096",0,0
"1097",0,0
"1098",0,0
"1099",0,0
"1100",0,0
"1101",0,0
"1102",0,0
"1103",0,0
"1104",0,0
"1105",0,0
"1106",0,0
"1107",0,0
"1108",0,0
"1109",0,0
"1110",0,0
"1111",0,0
"1112",0,0
"1113",0,0
"1114",0,0
"1115",0,0
"1116",0,0
"1117",0,0
"1118",0,0
"1119",0,0
"1120",0,0
"1121",0,1
"1122",0,1
"1123",0,1
"1124",0,1
"1125",0,1
"1126",0,1
"1127",0,1
"1128",0,1
"1129",0,1
"1130",0,1
"1131",0,1
"1132",0,1
"1133",0,1
"1134",0,1
"1135",0,1
"1136",0,1
"1137",0,1
"1138",-2.60017622322899,1
"1139",86.6725407742997,1
"1140",57.5939033445222,1
"1141",0,1
"1142",29.0353011593904,1
"1143",0,1
"1144",39.0893158892092,1
"1145",0,1
"1146",0,1
"1147",0,1
"1148",0,1
"1149",0,1
"1150",0,1
"1151",0,1
"1152",0,1
"1153",0,1
"1154",0,1
"1155",0,1
"1156",0,1
"1157",0,1
"1158",0,1
"1159",0,1
"1160",0,1
"1161",0,1
"1162",0,1
"1163",0,1
"1164",0,1
"1165",0,1
"1166",0,1
"1167",0,1
"1168",60.6707785420098,1
"1169",0,1
"1170",0,1
"1171",0,0
"1172",0,1
"1173",0,1
"1174",0,1
"1175",0,1
"1176",0,1
"1177",0,1
"1178",0,1
"1179",0,1
"1180",0,1
"1181",0,1
"1182",0,1
"1183",0,1
"1184",0,1
"1185",0,1
"1186",0,1
"1187",0,1
"1188",0,1
"1189",0,1
"1190",0,1
"1191",0,1
"1192",0,1
"1193",0,1
"1194",0,1
"1195",0,1
"1196",0,1
"1197",0,1
"1198",0,1
"1199",0,1
"1200",0,1
"1201",0,1
"1202",0,1
"1203",0,1
"1204",0,1
"1205",0,1
"1206",0,1
"1207",0,1
"1208",0,1
"1209",0,1
"1210",0,1
"1211",0,1
"1212",0,1
"1213",0,1
"1214",0,1
"1215",0,1
"1216",0,1
"1217",0,1
"1218",0,1
"1219",0,1
"1220",0,1
"1221",0,1
"1222",0,1
"1223",0,1
"1224",0,1
"1225",0,1
"1226",0,1
"1227",0,1
"1228",0,1
"1229",0,1
"1230",0,1
"1231",0,1
"1232",0,1
"1233",0,1
"1234",0,1
"1235",0,1
"1236",0,1
"1237",0,1
"1238",0,1
"1239",0,1
"1240",0,1
"1241",0,1
"1242",167.061322342463,1
"1243",0,1
"1244",0,1
"1245",0,1
"1246",-276.918767773888,1
"1247",40.6494216231466,1
"1248",0,1
"1249",47.2365347219934,1
"1250",0,1
"1251",71.9815451130559,1
"1252",156.01057339374,1
"1253",0,1
"1254",0,1
"1255",0,1
"1256",-4.46363584987644,1
"1257",0,1
"1258",43.3362703871499,1
"1259",0,1
"1260",251.350368245469,1
"1261",-1849.15865741968,1
"1262",0,1
"1263",29.2953187817133,1
"1264",0,0
"1265",195.013216742174,1
"1266",0,1
"1267",38.9159708076606,1
"1268",53.1736037650329,1
"1269",0,1
"1270",0,1
"1271",0,1
"1272",128.362032886738,1
"1273",327.318850234143,1
"1274",-1.90679589703459,1
"1275",-22.3181792493822,1
"1276",0,1
"1277",0,1
"1278",0,1
"1279",0,1
"1280",184.179149145387,1
"1281",-57.4638945333607,1
"1282",73.6716596581548,1
"1283",64.1376801729818,1
"1284",0,1
"1285",0,1
"1286",1308.27866671767,1
"1287",0,1
"1288",0,1
"1289",0,1
"1290",0.866725407742997,1
"1291",0,1
"1292",86.2175099352347,1
"1293",-127.841997642092,1
"1294",0.476698974258648,1
"1295",0,1
"1296",-65.9578035292421,1
"1297",0,1
"1298",0,1
"1299",9.53397948517297,1
"1300",0,1
"1301",17.2911718844728,1
"1302",0.433362703871499,1
"1303",-100.540147298188,1
"1304",106.173862448517,1
"1305",0,1
"1306",0,1
"1307",3.46690163097199,1
"1308",0,1
"1309",0,1
"1310",0,1
"1311",0,1
"1312",0,1
"1313",0,1
"1314",0,1
"1315",0,1
"1316",0,1
"1317",8.66725407742997,1
"1318",0,1
"1319",0,1
"1320",0,1
"1321",0,1
"1322",0,1
"1323",0,1
"1324",0,1
"1325",0,1
"1326",0,1
"1327",0,1
"1328",0,1
"1329",0,1
"1330",0,1
"1331",0,1
"1332",0,1
"1333",0,1
"1334",0,1
"1335",0,1
"1336",0,1
"1337",0,1
"1338",0,1
"1339",0,1
"1340",0,1
"1341",0,1
"1342",0,1
"1343",0,1
"1344",0,1
"1345",0,1
"1346",0,1
"1347",0,1
"1348",0,1
"1349",0,1
"1350",0,1
"1351",0,1
"1352",26.0017622322899,1
"1353",-140.19283470243,1
"1354",0,1
"1355",0,1
"1356",0,1
"1357",0,1
"1358",0,1
"1359",-26.0017622322899,1
"1360",0,1
"1361",173.345081548599,1
"1362",0,1
"1363",0,1
"1364",0,1
"1365",0,1
"1366",0,1
"1367",0,1
"1368",0,1
"1369",0,1
"1370",0,1
"1371",0,1
"1372",0,1
"1373",0,1
"1374",1.64677827471169,1
"1375",0,1
"1376",0,1
"1377",0,1
"1378",0,1
"1379",6.50044055807248,1
"1380",0,1
"1381",0,1
"1382",0,1
"1383",0,1
"1384",0,1
"1385",-6.50044055807248,1
"1386",23.8349487129324,1
"1387",-177.678708587314,1
"1388",-229.682233051894,1
"1389",0,1
"1390",104.00704892916,1
"1391",0,1
"1392",0,1
"1393",0,1
"1394",0,1
"1395",476.698974258648,1
"1396",0,1
"1397",0,1
"1398",0,1
"1399",0,1
"1400",0,1
"1401",0,1
"1402",0,1
"1403",0,1
"1404",0,1
"1405",0,1
"1406",0,1
"1407",0,1
"1408",0,1
"1409",0,1
"1410",0,1
"1411",0,1
"1412",0,1
"1413",0,1
"1414",0,1
"1415",0,1
"1416",0,1
"1417",0,1
"1418",0,1
"1419",0,1
"1420",0,1
"1421",0,1
"1422",0,1
"1423",0,1
"1424",0,1
"1425",0,1
"1426",0,1
"1427",0,1
"1428",0,1
"1429",0,1
"1430",0,1
"1431",0,1
"1432",0,1
"1433",0,1
"1434",0,1
"1435",0,1
"1436",0,1
"1437",0,1
"1438",0,1
"1439",-13.000881116145,1
"1440",0,1
"1441",217.244723450782,1
"1442",43.7696330910214,1
"1443",3.46690163097199,1
"1444",102.056916761738,1
"1445",138.416047616557,1
"1446",86.6725407742997,1
"1447",0,1
"1448",0,1
"1449",0,1
"1450",0,1
"1451",0,1
"1452",0,1
"1453",0,1
"1454",0,1
"1455",0,1
"1456",0,1
"1457",0,1
"1458",0,1
"1459",0,1
"1460",0,1
"1461",0,1
"1462",0,1
"1463",0,1
"1464",0,1
"1465",0,1
"1466",0,1
"1467",0,1
"1468",0,1
"1469",0,1
"1470",0,1
"1471",0,1
"1472",0,1
"1473",0,1
"1474",0,1
"1475",0,1
"1476",0,1
"1477",0,1
"1478",0,1
"1479",0,1
"1480",0,1
"1481",0,1
"1482",0,1
"1483",0,1
"1484",0,1
"1485",0,1
"1486",0,1
"1487",0,1
"1488",-43.7696330910214,1
"1489",1251.98485148476,1
"1490",0,1
"1491",37.2691925329489,1
"1492",72.588252898476,1
"1493",-0.520035244645798,1
"1494",-12.0474831676277,1
"1495",0,1
"1496",15.0810220947282,1
"1497",0,1
"1498",0,1
"1499",0,1
"1500",0,1
"1501",18.6345962664744,1
"1502",0,1
"1503",0,1
"1504",-58.5039650226523,1
"1505",0.346690163097199,1
"1506",13.9542790646623,1
"1507",150.766884676894,1
"1508",0,1
"1509",0,0
"1510",0,0
"1511",345.715097013488,0
"1512",0,0
"1513",0,0
"1514",263.05116125,0
"1515",464.673159226214,0
"1516",0,0
"1517",25.5683995284184,0
"1518",101.103518813221,0
"1519",75.8384731775123,0
"1520",75.8384731775123,0
"1521",43.3362703871499,0
"1522",-14.9510132835667,0
"1523",0,0
"1524",29.4686638632619,0
"1525",0,0
"1526",130.00881116145,0
"1527",47.6698974258649,0
"1528",693.380326194398,0
"1529",0,0
"1530",248.316829318369,0
"1531",-7.04214393791185,0
